"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITD4","Friuli-Venezia Giulia","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",219,,
"ITC3","Liguria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",36,,
"ITC3","Liguria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",34.3,,
"ITC3","Liguria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",39.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",22,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",20,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",25,,
"ITE2","Umbria","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",177,,
"ITE2","Umbria","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",177,,
"ITE2","Umbria","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",168,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",18.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",16.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",20.7,,
"ITC3","Liguria","6_NEVER_RELIG","never","THV","thousands value","2017","2017",536,,
"ITC3","Liguria","6_NEVER_RELIG","never","THV","thousands value","2018","2018",509,,
"ITC3","Liguria","6_NEVER_RELIG","never","THV","thousands value","2019","2019",590,,
"ITDA","Trentino Alto Adige / Südtirol","6_NEVER_RELIG","never","THV","thousands value","2017","2017",214,,
"ITDA","Trentino Alto Adige / Südtirol","6_NEVER_RELIG","never","THV","thousands value","2018","2018",244,,
"ITDA","Trentino Alto Adige / Südtirol","6_NEVER_RELIG","never","THV","thousands value","2019","2019",248,,
"ITC4","Lombardia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",27.4,,
"ITC4","Lombardia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",29.5,,
"ITC4","Lombardia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",29.6,,
"ITDA","Trentino Alto Adige / Südtirol","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",21.7,,
"ITDA","Trentino Alto Adige / Südtirol","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",24.5,,
"ITDA","Trentino Alto Adige / Südtirol","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",24.8,,
"ITF6","Calabria","6_NEVER_RELIG","never","THV","thousands value","2017","2017",263,,
"ITF6","Calabria","6_NEVER_RELIG","never","THV","thousands value","2018","2018",281,,
"ITF6","Calabria","6_NEVER_RELIG","never","THV","thousands value","2019","2019",305,,
"ITG1","Sicilia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",17.2,,
"ITG1","Sicilia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",23.2,,
"ITG1","Sicilia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",17.2,,
"ITF3","Campania","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",1742,,
"ITF3","Campania","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",1643,,
"ITF3","Campania","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",1802,,
"ITF2","Molise","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",90,,
"ITF2","Molise","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",80,,
"ITF2","Molise","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",83,,
"ITD5","Emilia-Romagna","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",834,,
"ITD5","Emilia-Romagna","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",836,,
"ITD5","Emilia-Romagna","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",797,,
"ITF2","Molise","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",30.4,,
"ITF2","Molise","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",27.1,,
"ITF2","Molise","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",28.4,,
"ITF6","Calabria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",14.1,,
"ITF6","Calabria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",15.2,,
"ITF6","Calabria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",16.5,,
"ITE2","Umbria","6_NEVER_RELIG","never","THV","thousands value","2017","2017",208,,
"ITE2","Umbria","6_NEVER_RELIG","never","THV","thousands value","2018","2018",218,,
"ITE2","Umbria","6_NEVER_RELIG","never","THV","thousands value","2019","2019",223,,
"ITF5","Basilicata","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",30.2,,
"ITF5","Basilicata","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",27.9,,
"ITF5","Basilicata","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",27.1,,
"ITG2","Sardegna","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",24.2,,
"ITG2","Sardegna","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",23.2,,
"ITG2","Sardegna","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",22.1,,
"ITF3","Campania","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",31.6,,
"ITF3","Campania","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",29.9,,
"ITF3","Campania","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",32.8,,
"ITF1","Abruzzo","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",24.7,,
"ITF1","Abruzzo","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",26.1,,
"ITF1","Abruzzo","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",23,,
"ITG1","Sicilia","6_NEVER_RELIG","never","THV","thousands value","2017","2017",821,,
"ITG1","Sicilia","6_NEVER_RELIG","never","THV","thousands value","2018","2018",1104,,
"ITG1","Sicilia","6_NEVER_RELIG","never","THV","thousands value","2019","2019",814,,
"ITF4","Puglia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",16.2,,
"ITF4","Puglia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",16.2,,
"ITF4","Puglia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",17.9,,
"ITE4","Lazio","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",24.9,,
"ITE4","Lazio","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",23.9,,
"ITE4","Lazio","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",20.7,,
"ITC4","Lombardia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",26.9,,
"ITC4","Lombardia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",25,,
"ITC4","Lombardia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",27.3,,
"ITF5","Basilicata","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",164,,
"ITF5","Basilicata","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",151,,
"ITF5","Basilicata","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",146,,
"ITDA","Trentino Alto Adige / Südtirol","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",27,,
"ITDA","Trentino Alto Adige / Südtirol","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",23.9,,
"ITDA","Trentino Alto Adige / Südtirol","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",22,,
"ITF4","Puglia","6_NEVER_RELIG","never","THV","thousands value","2017","2017",624,,
"ITF4","Puglia","6_NEVER_RELIG","never","THV","thousands value","2018","2018",622,,
"ITF4","Puglia","6_NEVER_RELIG","never","THV","thousands value","2019","2019",684,,
"ITE3","Marche","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",21.8,,
"ITE3","Marche","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",21.4,,
"ITE3","Marche","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",23.7,,
"ITE1","Toscana","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",682,,
"ITE1","Toscana","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",658,,
"ITE1","Toscana","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",602,,
"ITG2","Sardegna","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",382,,
"ITG2","Sardegna","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",366,,
"ITG2","Sardegna","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",346,,
"ITF1","Abruzzo","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",310,,
"ITF1","Abruzzo","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",326,,
"ITF1","Abruzzo","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",287,,
"ITF3","Campania","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",14.2,,
"ITF3","Campania","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",15.3,,
"ITF3","Campania","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",17,,
"ITF2","Molise","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",17.2,,
"ITF2","Molise","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",19,,
"ITF2","Molise","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",20.6,,
"ITE1","Toscana","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",19.2,,
"ITE1","Toscana","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",18.5,,
"ITE1","Toscana","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",17,,
"ITG1","Sicilia","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",1492,,
"ITG1","Sicilia","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",1409,,
"ITG1","Sicilia","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",1498,,
"ITE2","Umbria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",24.7,,
"ITE2","Umbria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",26,,
"ITE2","Umbria","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",26.7,,
"ITD5","Emilia-Romagna","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",36.2,,
"ITD5","Emilia-Romagna","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",34.9,,
"ITD5","Emilia-Romagna","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",39.5,,
"ITF1","Abruzzo","6_NEVER_RELIG","never","THV","thousands value","2017","2017",218,,
"ITF1","Abruzzo","6_NEVER_RELIG","never","THV","thousands value","2018","2018",268,,
"ITF1","Abruzzo","6_NEVER_RELIG","never","THV","thousands value","2019","2019",282,,
"ITE1","Toscana","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",35.4,,
"ITE1","Toscana","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",36.9,,
"ITE1","Toscana","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",38.6,,
"ITE3","Marche","6_NEVER_RELIG","never","THV","thousands value","2017","2017",318,,
"ITE3","Marche","6_NEVER_RELIG","never","THV","thousands value","2018","2018",311,,
"ITE3","Marche","6_NEVER_RELIG","never","THV","thousands value","2019","2019",344,,
"ITF1","Abruzzo","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",17.4,,
"ITF1","Abruzzo","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",21.4,,
"ITF1","Abruzzo","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",22.6,,
"ITE4","Lazio","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",26.7,,
"ITE4","Lazio","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",27.6,,
"ITE4","Lazio","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",29.5,,
"ITF5","Basilicata","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",14.6,,
"ITF5","Basilicata","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",16.1,,
"ITF5","Basilicata","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",18.9,,
"ITE4","Lazio","6_NEVER_RELIG","never","THV","thousands value","2017","2017",1485,,
"ITE4","Lazio","6_NEVER_RELIG","never","THV","thousands value","2018","2018",1539,,
"ITE4","Lazio","6_NEVER_RELIG","never","THV","thousands value","2019","2019",1640,,
"ITG2","Sardegna","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",25.2,,
"ITG2","Sardegna","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",30.5,,
"ITG2","Sardegna","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",30.8,,
"ITE3","Marche","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",404,,
"ITE3","Marche","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",413,,
"ITE3","Marche","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",407,,
"ITG1","Sicilia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",31.2,,
"ITG1","Sicilia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",29.6,,
"ITG1","Sicilia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",31.7,,
"ITE3","Marche","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",27.8,,
"ITE3","Marche","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",28.4,,
"ITE3","Marche","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",28.1,,
"ITF5","Basilicata","6_NEVER_RELIG","never","THV","thousands value","2017","2017",80,,
"ITF5","Basilicata","6_NEVER_RELIG","never","THV","thousands value","2018","2018",87,,
"ITF5","Basilicata","6_NEVER_RELIG","never","THV","thousands value","2019","2019",102,,
"ITF6","Calabria","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",622,,
"ITF6","Calabria","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",599,,
"ITF6","Calabria","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",588,,
"ITF4","Puglia","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",1318,,
"ITF4","Puglia","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",1179,,
"ITF4","Puglia","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",1180,,
"ITD3","Veneto","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",20.9,,
"ITD3","Veneto","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",21.2,,
"ITD3","Veneto","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",25.5,,
"ITF3","Campania","6_NEVER_RELIG","never","THV","thousands value","2017","2017",780,,
"ITF3","Campania","6_NEVER_RELIG","never","THV","thousands value","2018","2018",839,,
"ITF3","Campania","6_NEVER_RELIG","never","THV","thousands value","2019","2019",935,,
"ITE2","Umbria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",21,,
"ITE2","Umbria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",21.1,,
"ITE2","Umbria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",20,,
"ITG2","Sardegna","6_NEVER_RELIG","never","THV","thousands value","2017","2017",398,,
"ITG2","Sardegna","6_NEVER_RELIG","never","THV","thousands value","2018","2018",480,,
"ITG2","Sardegna","6_NEVER_RELIG","never","THV","thousands value","2019","2019",483,,
"ITE1","Toscana","6_NEVER_RELIG","never","THV","thousands value","2017","2017",1255,,
"ITE1","Toscana","6_NEVER_RELIG","never","THV","thousands value","2018","2018",1308,,
"ITE1","Toscana","6_NEVER_RELIG","never","THV","thousands value","2019","2019",1368,,
"ITF2","Molise","6_NEVER_RELIG","never","THV","thousands value","2017","2017",51,,
"ITF2","Molise","6_NEVER_RELIG","never","THV","thousands value","2018","2018",56,,
"ITF2","Molise","6_NEVER_RELIG","never","THV","thousands value","2019","2019",60,,
"ITF4","Puglia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",34.2,,
"ITF4","Puglia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",30.7,,
"ITF4","Puglia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",30.8,,
"ITF6","Calabria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",33.4,,
"ITF6","Calabria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",32.3,,
"ITF6","Calabria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",31.9,,
"IT","Italy","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",15234,,
"IT","Italy","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",14264,,
"IT","Italy","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",14354,,
